  48  56 104   4.5122  0.0083                    104,56,-0.765,0.048,4.5122,0.0083
  48  57 105   4.5216  0.0070                    105,57,-0.692,0.034,4.5216,0.0070
  48  58 106   4.5383  0.0036                    106,58,-0.576,0.008,4.5383,0.0036
  48  59 107   4.5466  0.0039                    107,59,-0.495,0.030,4.5466,0.0039
  48  60 108   4.5577  0.0031                    108,60,-0.412,0.011,4.5577,0.0031
  48  61 109   4.5601  0.0035                    109,61,-0.387,0.039,4.5601,0.0035
  48  62 110   4.5765  0.0026                    110,62,-0.252,0.005,4.5765,0.0026
  48  63 111   4.5845  0.0058                    111,63,-0.130,0.013,4.5845,0.0058
  48  64 112   4.5944  0.0024                    112,64,-0.103,0.003,4.5944,0.0024
  48  65 113   4.6012  0.0028                    113,65,-0.008,0.004,4.6012,0.0028
  48  66 114   4.6087  0.0023                    114,66,0,0,4.6087,0.0023
  48  67 115   4.6114  0.0046                    115,67,0.024,0.046,4.6114,0.0046
  48  68 116   4.6203  0.0059                    116,68,0.088,0.003,4.6203,0.0059
  48  69 117   4.6136  0.0025                    117,69,0.083,0.018,4.6136,0.0025
  48  70 118   4.6246  0.0060                    118,70,0.129,0.022,4.6246,0.0060
  48  72 120   4.6300  0.0069                    120,72,0.174,0.043,4.6300,0.0069
  49  55 104   4.5184  0.0117                    104,55,-0.866,0.015,4.5184,0.0117
  49  56 105   4.5311  0.0103                    105,56,-0.754,0.014,4.5311,0.0103
  49  57 106   4.5375  0.0095                    106,57,-0.698,0.012,4.5375,0.0095
